dataset,n,refit_interval,coeff,block_size,coverage,r2,time_s,xgb_r2,xgb_time_s,r2_delta,speed_ratio
reg_10d,50000,200,10,2236,0.089,0.96939,0.975,0.97541,1.344,-0.00602,0.73
reg_10d,50000,200,15,3354,0.134,0.97005,1.101,0.97541,1.344,-0.00536,0.82
reg_10d,50000,200,25,5590,0.224,0.97128,1.65,0.97541,1.344,-0.00413,1.23
reg_10d,50000,200,40,8944,0.358,0.9719,2.112,0.97541,1.344,-0.00352,1.57
reg_10d,100000,25,10,3162,0.632,0.9692,4.05,0.97186,1.08,-0.00266,3.75
reg_10d,100000,25,15,4743,0.949,0.9691,4.572,0.97186,1.08,-0.00276,4.23
reg_10d,100000,25,25,7905,1.0,0.96864,7.051,0.97186,1.08,-0.00322,6.53
reg_10d,100000,25,40,12649,1.0,0.96792,10.604,0.97186,1.08,-0.00394,9.82
reg_10d,100000,50,10,3162,0.316,0.9684,2.429,0.97186,1.08,-0.00346,2.25
reg_10d,100000,50,15,4743,0.474,0.96837,3.216,0.97186,1.08,-0.00348,2.98
reg_10d,100000,50,25,7905,0.79,0.96806,4.093,0.97186,1.08,-0.0038,3.79
reg_10d,100000,50,40,12649,1.0,0.9677,6.112,0.97186,1.08,-0.00416,5.66
reg_10d,100000,100,10,3162,0.158,0.96742,1.942,0.97186,1.08,-0.00443,1.8
reg_10d,100000,100,15,4743,0.237,0.96718,2.266,0.97186,1.08,-0.00468,2.1
reg_10d,100000,100,25,7905,0.395,0.96728,3.025,0.97186,1.08,-0.00458,2.8
reg_10d,100000,100,40,12649,0.632,0.96732,4.364,0.97186,1.08,-0.00454,4.04
reg_10d,100000,200,10,3162,0.063,0.96516,1.806,0.97186,1.08,-0.0067,1.67
reg_10d,100000,200,15,4743,0.095,0.96611,2.112,0.97186,1.08,-0.00575,1.95
reg_10d,100000,200,25,7905,0.158,0.96597,2.529,0.97186,1.08,-0.00589,2.34
